Reference,Study,Control,Genus,Species,Ocean,NO3,NH4,TOTAL N,PO4,TOTALN/P,Response level,SD,SE,N,pulse.press,Exposure in days,Response type,Measurement,,,,,,,
NU03,1_Bednarz et al 2020,control,Stylophora,pistillata,Indian,0.5,0.2,0.7,0.2,3.5,3.277419355,1.21183,0.605915,4,press,42,ChlA Concentration,ug/cm^2,,,,,,,
NU03,1_Bednarz et al 2020,exp,Stylophora,pistillata,Indian,0.5,4.2,4.7,0.2,23.5,4.352688172,0.7609165,0.38045825,4,press,42,ChlA Concentration,ug/cm^2,,,,,,,
NU45,3_Koop et al 2001,control,Stylophora,pistillata,Pacific,2.94,0.65,3.59,0.2,17.95,0.6183,0.2897721,0.1673,3,pulse,252,ChlA Concentration,ug/cm^2,,,,,,,
NU45,3_Koop et al 2001,exp,Stylophora,pistillata,Pacific,2.94,36.2,39.14,0.2,195.7,0.9072,0.432493087,0.2497,3,pulse,252,ChlA Concentration,ug/cm^2,,,,,,,
NU45,3_Koop et al 2001,exp,Stylophora,pistillata,Pacific,2.94,0,2.94,5.14,0.571984436,0.6209,0.316965298,0.183,3,pulse,252,ChlA Concentration,ug/cm^2,,,,,,,
NU45,3_Koop et al 2001,exp,Stylophora,pistillata,Pacific,2.94,36.2,39.14,5.14,7.614785992,0.79215,0.328310231,0.18955,3,pulse,252,ChlA Concentration,ug/cm^2,,,,,,,
NU55a,4_Marubini and Thake 1999,control,Porites,porites,Atlantic,0.2,0,0.2,0.05,4,13.08,1.075174404,0.34,10,press,32,ChlA Concentration,ug/cm^2,,,,,,,
NU55a,4_Marubini and Thake 1999,exp,Porites,porites,Atlantic,20,0,20,0.05,400,22.2,7.051879182,2.23,10,press,32,ChlA Concentration,ug/cm^2,,,,,,,
NU55a,4_Marubini and Thake 1999,exp,Porites,porites,Atlantic,0.2,20,20.2,0.05,404,23.65,6.767274193,2.14,10,press,32,ChlA Concentration,ug/cm^2,,,,,,,
NU55b,4_Marubini and Thake 1999,control,Porites,porites,Atlantic,0.2,0,0.2,0.05,4,12.98,4.458811501,1.41,10,press,32,ChlA Concentration,ug/cm^2,,,,,,,
NU55b,4_Marubini and Thake 1999,exp,Porites,porites,Atlantic,20,0,20,0.05,400,21.76,5.502363129,1.74,10,press,32,ChlA Concentration,ug/cm^2,,,,,,,
NU55b,4_Marubini and Thake 1999,exp,Porites,porites,Atlantic,0.2,20,20.2,0.05,404,22.45,5.660477012,1.79,10,press,32,ChlA Concentration,ug/cm^2,,,,,,,
NU59,5_Muller-Parker et al 1994,control,Pocillopora,damicornis,Pacific,0,0,2,0,2,2.0795,5.881714206,2.0795,8,press,56,ChlA Concentration,ug/cm^2,,,,,,,
NU59,5_Muller-Parker et al 1994,exp,Pocillopora,damicornis,Pacific,0,20,20,0,20,6.6055,9.341587686,6.6055,2,press,56,ChlA Concentration,ug/cm^2,,,,,,,
NU59,5_Muller-Parker et al 1994,exp,Pocillopora,damicornis,Pacific,0,20,20,0,20,4.0673,5.752030822,4.0673,2,press,56,ChlA Concentration,ug/cm^2,,,,,,,
NU60a,6_Muscatine et al 1989,control,Stylophora,pistillata,Indian,0,0,0,0,0,2.61,1.749371316,1.01,3,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU60a,6_Muscatine et al 1989,exp,Stylophora,pistillata,Indian,0,20,20,0,20,6.93,1.991858429,1.15,3,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU60a,6_Muscatine et al 1989,exp,Stylophora,pistillata,Indian,0,20,20,2,10,7.34,2.286307066,1.32,3,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU60a,6_Muscatine et al 1989,exp,Stylophora,pistillata,Indian,0,0,0,2,0,3.03,0.727461339,0.42,3,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU60b,6_Muscatine et al 1989,control,Stylophora,pistillata,Indian,0,0,0,0,0,2.96,1.939896904,1.12,3,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU60b,6_Muscatine et al 1989,exp,Stylophora,pistillata,Indian,0,20,20,0,20,3.96,1.329360749,0.94,2,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU60b,6_Muscatine et al 1989,exp,Stylophora,pistillata,Indian,0,20,20,2,20,3.71,0.593969696,0.42,2,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU60b,6_Muscatine et al 1989,exp,Stylophora,pistillata,Indian,0,0,0,2,0,4.12,3.153696244,2.23,2,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU76,7_Stambler 1997,control,Stylophora,pistillata,Indian,0,1,1,0,1,11.82353,2.79412,1.39706,4,press,35,ChlA Concentration,ug/cm^2,,,,,,,
NU76,7_Stambler 1997,exp,Stylophora,pistillata,Indian,0,20,20,0,20,13.90,4.94118,2.47059,4,press,35,ChlA Concentration,ug/cm^2,,,,,,,
NU77a,8_Stambler 1994,control,Pocillopora,damicornis,Atlantic,0,2,2,0,2,11.07,2.8,1.616580754,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU77a,8_Stambler 1994,exp,Pocillopora,damicornis,Atlantic,0,1,1,0,1,9.3,1.83,1.056550993,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU77a,8_Stambler 1994,exp,Pocillopora,damicornis,Atlantic,0,20,20,0,20,17.36,5.44,3.140785464,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU77a,8_Stambler 1994,exp,Pocillopora,damicornis,Atlantic,0,50,50,0,50,24.78,11.48,6.62798109,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU77b,8_Stambler 1994,control,Montipora,verrucosa,Atlantic,0,2,2,0,2,7.45,4.19,2.419097628,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU77b,8_Stambler 1994,exp,Montipora,verrucosa,Atlantic,0,1,1,0,1,1.87,0.99,0.571576766,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU77b,8_Stambler 1994,exp,Montipora,verrucosa,Atlantic,0,20,20,0,20,13.22,0.28,0.197989899,2,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU77b,8_Stambler 1994,exp,Montipora,verrucosa,Atlantic,0,50,50,0,50,19.45,8.23,4.751592715,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU78a,9_Stambler 1991,control,Pocillopora,damicornis,Pacific,0,0,2,0.1,20,2.194,0.625,0.360843918,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU78a,9_Stambler 1991,exp,Pocillopora,damicornis,Pacific,0,0,2,2,1,2.36,1.024,0.591206676,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU78a,9_Stambler 1991,exp,Pocillopora,damicornis,Pacific,0,0,2,0.5,4,1.372,0.388,0.224011904,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU78b,9_Stambler 1991,control,Pocillopora,damicornis,Pacific,0,2,2,0.1,20,1.404,1.012,0.584278472,3,press,15,ChlA Concentration,ug/cm^2,,,,,,,
NU78b,9_Stambler 1991,exp,Pocillopora,damicornis,Pacific,0,7,7,0.1,70,18.005,9.647,5.569698047,3,press,15,ChlA Concentration,ug/cm^2,,,,,,,
NU78b,9_Stambler 1991,exp,Pocillopora,damicornis,Pacific,0,15,15,0.1,150,5.381,2.666571429,1.539545732,3,press,15,ChlA Concentration,ug/cm^2,,,,,,,
NU78b,9_Stambler 1991,exp,Pocillopora,damicornis,Pacific,0,15,15,0.5,30,11.577,2.841,1.640252115,3,press,15,ChlA Concentration,ug/cm^2,,,,,,,
NU78b,9_Stambler 1991,exp,Pocillopora,damicornis,Pacific,0,15,15,2,7.5,10.853,3.129,1.806528992,3,press,15,ChlA Concentration,ug/cm^2,,,,,,,
NU81,10_Tanaka et al 2010,control,Montipora,digitata,Pacific,0.39,0.22,0.61,0.06,10.16666667,10.30,1.00,0.447213595,5,press,11,ChlA Concentration,ug/cm^2,,,,,,,
NU81,10_Tanaka et al 2010,exp,Montipora,digitata,Pacific,10.6,0.25,10.85,0.49,22.14285714,15.10,0.60,0.268328157,5,press,11,ChlA Concentration,ug/cm^2,,,,,,,
NU82a,11_Tanaka et al 2017,control,Montipora,digitata,Pacific,0.21,0.03,0.24,0.04,6,10.08377,10.08377,5.821867324,3,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU82a,11_Tanaka et al 2017,exp,Montipora,digitata,Pacific,1.48,0.02,1.5,0.12,12.5,10.05236,0.72251,0.417141343,3,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU82a,11_Tanaka et al 2017,exp,Montipora,digitata,Pacific,2,0.02,2.02,0.02,101,10.08377,10.08377,5.821867324,3,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU82b,11_Tanaka et al 2017,control,Porites,cylindrica,Pacific,0.23,0.03,0.26,0.02,13,12.09424,12.09424,6.98261272,3,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU82b,11_Tanaka et al 2017,exp,Porites,cylindrica,Pacific,1.58,0.04,1.62,0.12,13.5,12.09424,2.23037,1.28770472,3,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU82b,11_Tanaka et al 2017,exp,Porites,cylindrica,Pacific,1.87,0.03,1.9,0.03,63.33333333,12.09424,12.09424,6.98261272,3,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU82c,11_Tanaka et al 2017,control,Montipora,digitata,Pacific,0.21,0.03,0.24,0.04,6,5.246073,5.246073,3.028821659,3,press,28,ChlA Concentration,ug/cm^2,,,,,,,
NU82c,11_Tanaka et al 2017,exp,Montipora,digitata,Pacific,1.48,0.02,1.5,0.12,12.5,10.02094,1.57068,0.906832521,3,press,28,ChlA Concentration,ug/cm^2,,,,,,,
NU82c,11_Tanaka et al 2017,exp,Montipora,digitata,Pacific,2,0.02,2.02,0.02,101,7.47644,7.47644,4.316524647,3,press,28,ChlA Concentration,ug/cm^2,,,,,,,
NU82d,11_Tanaka et al 2017,control,Porites,cylindrica,Pacific,0.23,0.03,0.26,0.02,13,9.612565,9.612565,5.54981699,3,press,28,ChlA Concentration,ug/cm^2,,,,,,,
NU82d,11_Tanaka et al 2017,exp,Porites,cylindrica,Pacific,1.58,0.04,1.62,0.12,13.5,12.15707,2.19895,1.269564374,3,press,28,ChlA Concentration,ug/cm^2,,,,,,,
NU82d,11_Tanaka et al 2017,exp,Porites,cylindrica,Pacific,1.87,0.03,1.9,0.03,63.33333333,11.71728,11.71728,6.764974762,3,press,28,ChlA Concentration,ug/cm^2,,,,,,,
NU82e,11_Tanaka et al 2017,control,Montipora,digitata,Pacific,0.21,0.03,0.24,0.04,6,4.020942,4.020942,2.321491946,3,press,63,ChlA Concentration,ug/cm^2,,,,,,,
NU82e,11_Tanaka et al 2017,exp,Montipora,digitata,Pacific,1.48,0.02,1.5,0.12,12.5,7.696335,0.596859,0.344596704,3,press,63,ChlA Concentration,ug/cm^2,,,,,,,
NU82e,11_Tanaka et al 2017,exp,Montipora,digitata,Pacific,2,0.02,2.02,0.02,101,6.659686,6.659686,3.844971505,3,press,63,ChlA Concentration,ug/cm^2,,,,,,,
NU82f,11_Tanaka et al 2017,control,Porites,cylindrica,Pacific,0.23,0.03,0.26,0.02,13,8.26178,8.26178,4.769940907,3,press,63,ChlA Concentration,ug/cm^2,,,,,,,
NU82f,11_Tanaka et al 2017,exp,Porites,cylindrica,Pacific,1.58,0.04,1.62,0.12,13.5,13.66492,2.95288,1.704846063,3,press,63,ChlA Concentration,ug/cm^2,,,,,,,
NU82f,11_Tanaka et al 2017,exp,Porites,cylindrica,Pacific,1.87,0.03,1.9,0.03,63.33333333,12.12565,2.79582,1.61416743,3,press,63,ChlA Concentration,ug/cm^2,,,,,,,
NU85,12_Tanaka et al 2007,control,Acropora,pulchra,Pacific,2.16,0.03,2.19,0.09,24.33333333,2.60,0.692820323,0.20,12,press,0,ChlA Concentration,ug/cm^2,,,,,,,
NU85,12_Tanaka et al 2007,exp,Acropora,pulchra,Pacific,5.06,0.03,5.09,0.3,16.96666667,5.20,0.3,0.10,9,pulse,5,ChlA Concentration,ug/cm^2,,,,,,,
NU85,12_Tanaka et al 2007,exp,Acropora,pulchra,Pacific,5.06,0.03,5.09,0.3,16.96666667,6.90,0.848528137,0.30,8,pulse,10,ChlA Concentration,ug/cm^2,,,,,,,
NU86a,13_Tanaka et al 2014b,control,Acropora,tenuis,Pacific,0.27,0.21,0.48,0.06,8,2.20,0.4,0.2,4,press,25,ChlA Concentration,ug/cm^2,,,,,,,
NU86a,13_Tanaka et al 2014b,exp,Acropora,tenuis,Pacific,4.91,0.14,5.05,0.28,18.03571429,5.60,0.4,0.2,4,press,25,ChlA Concentration,ug/cm^2,,,,,,,
NU86b,13_Tanaka et al 2014b,control,Acropora,tenuis,Pacific,0.27,0.21,0.48,0.06,8,3.20,0.6,0.3,4,press,25,ChlA Concentration,ug/cm^2,,,,,,,
NU86b,13_Tanaka et al 2014b,exp,Acropora,tenuis,Pacific,4.91,0.14,5.05,0.28,18.03571429,6.90,0.6,0.3,4,press,25,ChlA Concentration,ug/cm^2,,,,,,,
NU86c,13_Tanaka et al 2014b,control,Acropora,tenuis,Pacific,0.27,0.21,0.48,0.06,8,2.40,0.4,0.2,4,press,25,ChlA Concentration,ug/cm^2,,,,,,,
NU86c,13_Tanaka et al 2014b,exp,Acropora,tenuis,Pacific,4.91,0.14,5.05,0.28,18.03571429,3.40,0.8,0.4,4,press,25,ChlA Concentration,ug/cm^2,,,,,,,